id,stateid,state_name,uplift_pct,cost,Comment,cash_transfer,food_subsidy,training_program,nrega_program
210607100,21,Rajasthan,25.36%,15900,Uplifted 25.36% in Rajasthan due to Cash Transfer (1000) + Food Subsidy (600) + Nrega Program (1) for 9 months.,1000,600,0,1
241903211,24,Tripura,24.95%,12500,Uplifted 24.95% in Tripura due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 9 months.,1000,0,1,1
220701111,22,Tamil Nadu,24.39%,12500,Uplifted 24.39% in Tamil Nadu due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 9 months.,1000,0,1,1
60906200,6,Goa,24.03%,15900,Uplifted 24.03% in Goa due to Cash Transfer (1000) + Food Subsidy (600) + Nrega Program (1) for 9 months.,1000,600,0,1
201201241,20,Punjab,23.33%,12500,Uplifted 23.33% in Punjab due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 9 months.,1000,0,1,1
190907200,19,Odisha,23.27%,15200,Uplifted 23.27% in Odisha due to Cash Transfer (1000) + Food Subsidy (300) + Training Program (1) + Nrega Program (1) for 9 months.,1000,300,1,1
96502100,9,Himachal Pradesh,23.2%,15200,Uplifted 23.2% in Himachal Pradesh due to Cash Transfer (700) + Food Subsidy (600) + Training Program (1) + Nrega Program (1) for 9 months.,700,600,1,1
221301111,22,Tamil Nadu,22.95%,17900,Uplifted 22.95% in Tamil Nadu due to Cash Transfer (1000) + Food Subsidy (600) + Training Program (1) + Nrega Program (1) for 9 months.,1000,600,1,1
30103111,3,Assam,22.8%,15200,Uplifted 22.8% in Assam due to Cash Transfer (1000) + Food Subsidy (300) + Training Program (1) + Nrega Program (1) for 9 months.,1000,300,1,1
2013070101,20,Punjab,22.56%,14550,Uplifted 22.56% in Punjab due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
311070101,3,Assam,22.31%,14550,Uplifted 22.31% in Assam due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
210701111,21,Rajasthan,22.23%,17900,Uplifted 22.23% in Rajasthan due to Cash Transfer (1000) + Food Subsidy (600) + Training Program (1) + Nrega Program (1) for 9 months.,1000,600,1,1
2701010111,27,West Bengal,21.77%,15900,Uplifted 21.77% in West Bengal due to Cash Transfer (1000) + Food Subsidy (600) + Nrega Program (1) for 9 months.,1000,600,0,1
710010109,7,Gujarat,21.73%,14550,Uplifted 21.73% in Gujarat due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
220903111,22,Tamil Nadu,21.7%,15900,Uplifted 21.7% in Tamil Nadu due to Cash Transfer (1000) + Food Subsidy (600) + Nrega Program (1) for 9 months.,1000,600,0,1
2312010111,23,Telangana,21.68%,11850,Uplifted 21.68% in Telangana due to Cash Transfer (700) + Food Subsidy (450) + Nrega Program (1) for 9 months.,700,450,0,1
234202113,23,Telangana,21.63%,12500,Uplifted 21.63% in Telangana due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 9 months.,1000,0,1,1
200207100,20,Punjab,21.52%,17900,Uplifted 21.52% in Punjab due to Cash Transfer (1000) + Food Subsidy (600) + Training Program (1) + Nrega Program (1) for 9 months.,1000,600,1,1
181707200,18,Nagaland,21.49%,16550,Uplifted 21.49% in Nagaland due to Cash Transfer (1000) + Food Subsidy (450) + Training Program (1) + Nrega Program (1) for 9 months.,1000,450,1,1
618060203,6,Goa,21.36%,10050,Uplifted 21.36% in Goa due to Cash Transfer (500) + Food Subsidy (450) + Nrega Program (1) for 9 months.,500,450,0,1
273003121,27,West Bengal,21.23%,14300,Uplifted 21.23% in West Bengal due to Cash Transfer (1000) + Food Subsidy (200) + Training Program (1) + Nrega Program (1) for 9 months.,1000,200,1,1
180610100,18,Nagaland,21.18%,12300,Uplifted 21.18% in Nagaland due to Cash Transfer (1000) + Food Subsidy (200) + Nrega Program (1) for 9 months.,1000,200,0,1
270602112,27,West Bengal,21.15%,14300,Uplifted 21.15% in West Bengal due to Cash Transfer (1000) + Food Subsidy (200) + Training Program (1) + Nrega Program (1) for 9 months.,1000,200,1,1
220906100,22,Tamil Nadu,21.1%,12500,Uplifted 21.1% in Tamil Nadu due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 9 months.,1000,0,1,1
211802311,21,Rajasthan,21.07%,15900,Uplifted 21.07% in Rajasthan due to Cash Transfer (1000) + Food Subsidy (600) + Nrega Program (1) for 9 months.,1000,600,0,1
2702050101,27,West Bengal,21.01%,15900,Uplifted 21.01% in West Bengal due to Cash Transfer (1000) + Food Subsidy (600) + Nrega Program (1) for 9 months.,1000,600,0,1
212105100,21,Rajasthan,21.01%,15200,Uplifted 21.01% in Rajasthan due to Cash Transfer (1000) + Food Subsidy (300) + Training Program (1) + Nrega Program (1) for 9 months.,1000,300,1,1
300104200,30,Dadra and Nagar Haveli,21.0%,10500,Uplifted 21.0% in Dadra and Nagar Haveli due to Cash Transfer (1000) + Nrega Program (1) for 9 months.,1000,0,0,1
230505114,23,Telangana,20.96%,12300,Uplifted 20.96% in Telangana due to Cash Transfer (1000) + Food Subsidy (200) + Nrega Program (1) for 9 months.,1000,200,0,1
113140101,1,Andhra Pradesh,20.88%,15900,Uplifted 20.88% in Andhra Pradesh due to Cash Transfer (1000) + Food Subsidy (600) + Nrega Program (1) for 9 months.,1000,600,0,1
272607200,27,West Bengal,20.88%,14550,Uplifted 20.88% in West Bengal due to Cash Transfer (1000) + Food Subsidy (450) + Nrega Program (1) for 9 months.,1000,450,0,1
103206200,10,Jharkhand,20.86%,12500,Uplifted 20.86% in Jharkhand due to Cash Transfer (700) + Food Subsidy (300) + Training Program (1) + Nrega Program (1) for 9 months.,700,300,1,1
101407100,10,Jharkhand,20.67%,13850,Uplifted 20.67% in Jharkhand due to Cash Transfer (700) + Food Subsidy (450) + Training Program (1) + Nrega Program (1) for 9 months.,700,450,1,1
311040212,3,Assam,20.62%,15900,Uplifted 20.62% in Assam due to Cash Transfer (1000) + Food Subsidy (600) + Nrega Program (1) for 9 months.,1000,600,0,1
2905350111,29,Chandigarh,20.59%,15200,Uplifted 20.59% in Chandigarh due to Cash Transfer (700) + Food Subsidy (600) + Training Program (1) + Nrega Program (1) for 9 months.,700,600,1,1
