id,stateid,state_name,uplift_pct,cost,Comment,cash_transfer,training_program,nrega_program
241903211,24,Tripura,24.95%,10500,Uplifted 24.95% in Tripura due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
220701111,22,Tamil Nadu,24.39%,10500,Uplifted 24.39% in Tamil Nadu due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
201201241,20,Punjab,23.33%,10500,Uplifted 23.33% in Punjab due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
96502100,9,Himachal Pradesh,23.02%,8400,Uplifted 23.02% in Himachal Pradesh due to Cash Transfer (700) + Training Program (1) + Nrega Program (1) for 7 months.,700,1,1
30103111,3,Assam,22.8%,10500,Uplifted 22.8% in Assam due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
234202113,23,Telangana,21.63%,10500,Uplifted 21.63% in Telangana due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
210607100,21,Rajasthan,21.28%,10500,Uplifted 21.28% in Rajasthan due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
220906100,22,Tamil Nadu,21.1%,10500,Uplifted 21.1% in Tamil Nadu due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
273003121,27,West Bengal,21.07%,10500,Uplifted 21.07% in West Bengal due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
300104200,30,Dadra and Nagar Haveli,21.0%,8500,Uplifted 21.0% in Dadra and Nagar Haveli due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
181707200,18,Nagaland,20.96%,10500,Uplifted 20.96% in Nagaland due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
270602112,27,West Bengal,20.88%,10500,Uplifted 20.88% in West Bengal due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
103206200,10,Jharkhand,20.86%,8400,Uplifted 20.86% in Jharkhand due to Cash Transfer (700) + Training Program (1) + Nrega Program (1) for 7 months.,700,1,1
180610100,18,Nagaland,20.64%,8500,Uplifted 20.64% in Nagaland due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
190907200,19,Odisha,20.56%,10500,Uplifted 20.56% in Odisha due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
212105100,21,Rajasthan,20.52%,10500,Uplifted 20.52% in Rajasthan due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
2013070101,20,Punjab,20.52%,8500,Uplifted 20.52% in Punjab due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
2211020111,22,Tamil Nadu,20.33%,8500,Uplifted 20.33% in Tamil Nadu due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
221301111,22,Tamil Nadu,20.32%,10500,Uplifted 20.32% in Tamil Nadu due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
230505114,23,Telangana,20.09%,8500,Uplifted 20.09% in Telangana due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
231706200,23,Telangana,19.97%,10500,Uplifted 19.97% in Telangana due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
2201010111,22,Tamil Nadu,19.8%,8500,Uplifted 19.8% in Tamil Nadu due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
233602111,23,Telangana,19.74%,8500,Uplifted 19.74% in Telangana due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
272607200,27,West Bengal,19.65%,10500,Uplifted 19.65% in West Bengal due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
